Database initialized successfully
(node:24064) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-19T06:47:36.043Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:36.052Z] POST /api/v1/auth/login
[2026-05-19T06:47:36.349Z] GET /api/v1/alerts
[2026-05-19T06:47:36.360Z] POST /api/v1/auth/login
[2026-05-19T06:47:36.639Z] GET /api/v1/alerts
[2026-05-19T06:47:36.642Z] POST /api/v1/auth/login
[2026-05-19T06:47:36.953Z] GET /api/v1/alerts
[2026-05-19T06:47:36.955Z] POST /api/v1/auth/login
[2026-05-19T06:47:37.297Z] GET /api/v1/alerts
[2026-05-19T06:47:37.300Z] POST /api/v1/auth/login
[2026-05-19T06:47:37.615Z] GET /api/v1/alerts
[2026-05-19T06:47:37.619Z] POST /api/v1/auth/login
[2026-05-19T06:47:37.982Z] GET /api/v1/alerts
[2026-05-19T06:47:37.987Z] POST /api/v1/auth/login
[2026-05-19T06:47:38.409Z] GET /api/v1/alerts
[2026-05-19T06:47:38.428Z] POST /api/v1/auth/login
[2026-05-19T06:47:38.870Z] POST /api/v1/alerts/generate
[2026-05-19T06:47:38.893Z] POST /api/v1/auth/login
[2026-05-19T06:47:39.326Z] GET /api/v1/alerts
[2026-05-19T06:47:40.077Z] POST /api/v1/auth/login
[2026-05-19T06:47:40.765Z] GET /api/v1/alerts
[2026-05-19T06:47:40.768Z] GET /api/v1/alerts
[2026-05-19T06:47:41.907Z] POST /api/v1/auth/login
[2026-05-19T06:47:42.268Z] GET /api/v1/alerts
[2026-05-19T06:47:42.283Z] POST /api/v1/auth/login
[2026-05-19T06:47:42.702Z] POST /api/v1/alerts/non-existent/handle
[2026-05-19T06:47:42.713Z] POST /api/v1/auth/login
[2026-05-19T06:47:43.083Z] GET /api/v1/alerts
[2026-05-19T06:47:43.093Z] POST /api/v1/auth/login
[2026-05-19T06:47:43.364Z] GET /api/v1/alerts
[2026-05-19T06:47:44.065Z] POST /api/v1/auth/login
[2026-05-19T06:47:44.526Z] GET /api/v1/alerts
[2026-05-19T06:47:44.528Z] GET /api/v1/alerts
[2026-05-19T06:47:45.115Z] GET /api/v1/alerts
[2026-05-19T06:47:45.116Z] GET /api/v1/alerts
[2026-05-19T06:47:46.045Z] POST /api/v1/auth/login
[2026-05-19T06:47:46.290Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:46.291Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:46.308Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:46.815Z] POST /api/v1/auth/login
[2026-05-19T06:47:47.311Z] GET /api/v1/alerts
[2026-05-19T06:47:47.314Z] GET /api/v1/alerts
[2026-05-19T06:47:48.381Z] POST /api/v1/auth/login
[2026-05-19T06:47:48.625Z] POST /api/v1/alerts/generate
[2026-05-19T06:47:48.633Z] POST /api/v1/auth/login
[2026-05-19T06:47:48.882Z] POST /api/v1/alerts/generate
[2026-05-19T06:47:49.003Z] POST /api/v1/auth/login
[2026-05-19T06:47:49.310Z] GET /api/v1/alerts
[2026-05-19T06:47:50.203Z] POST /api/v1/auth/login
[2026-05-19T06:47:50.799Z] GET /api/v1/alerts
[2026-05-19T06:47:50.804Z] GET /api/v1/alerts
[2026-05-19T06:47:52.518Z] POST /api/v1/auth/login
[2026-05-19T06:47:53.256Z] GET /api/v1/alerts
[2026-05-19T06:47:53.258Z] GET /api/v1/alerts
[2026-05-19T06:47:57.014Z] POST /api/v1/auth/login
[2026-05-19T06:47:57.310Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:57.314Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:57.316Z] GET /api/v1/inbound
[2026-05-19T06:47:57.317Z] GET /api/v1/outbound
[2026-05-19T06:47:57.319Z] GET /api/v1/inbound
[2026-05-19T06:47:57.320Z] GET /api/v1/outbound
[2026-05-19T06:47:57.491Z] GET /api/v1/alerts
[2026-05-19T06:47:57.493Z] GET /api/v1/alerts
[2026-05-19T06:48:08.505Z] POST /api/v1/auth/login
[2026-05-19T06:48:09.000Z] GET /api/v1/alerts
[2026-05-19T06:48:09.003Z] GET /api/v1/alerts
[2026-05-19T06:48:11.183Z] POST /api/v1/auth/login
[2026-05-19T06:48:11.516Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:11.521Z] GET /api/v1/inbound
[2026-05-19T06:48:11.523Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:11.526Z] GET /api/v1/outbound
[2026-05-19T06:48:11.688Z] GET /api/v1/alerts
[2026-05-19T06:48:11.690Z] GET /api/v1/alerts
[2026-05-19T06:48:17.418Z] POST /api/v1/auth/login
[2026-05-19T06:48:17.662Z] GET /api/v1/alerts/rules
[2026-05-19T06:48:17.672Z] POST /api/v1/auth/login
[2026-05-19T06:48:17.912Z] GET /api/v1/alerts
[2026-05-19T06:48:20.848Z] POST /api/v1/auth/login
[2026-05-19T06:48:21.298Z] GET /api/v1/alerts
[2026-05-19T06:48:21.302Z] GET /api/v1/alerts
